source_column,source_object,default_if_absent,name_a,name_b,transform,unit,status,description
correction_type,corrected_ema_data,,,correction_type,none,category,implemented,Which algorithmic rule was applied (e.g. sleep_reduce_12h_loop). Belongs in B so that 'how much it moved' and 'which rule moved it' live in one table. CAVEAT: records only the ALGORITHMIC action and is never rewritten when a later manual correction overrides it. On rows with has_correction='both' (n=16 in the 2026-08 real data) this field may name a rule whose effect is no longer present. See open_issues S6.
is_error,corrected_ema_data,,is_error,,none,flag,implemented,Error flag from Step 6 classification
error_type,corrected_ema_data,,error_type,,none,category,implemented,Error category text
is_unusual,corrected_ema_data,,is_unusual,,none,flag,implemented,Unusual pattern flag
unusual_type,corrected_ema_data,,unusual_type,,none,category,implemented,Unusual pattern text
is_reasonable_unusual,corrected_ema_data,FALSE,is_reasonable_unusual,,none,flag,implemented,Human reviewer judged the unusual pattern acceptable
data_category,corrected_ema_data,,,,none,category,implemented,Step 5 temporal-check outcome and the SOURCE record_status is derived from (see .RECORD_STATUS_MAP in finalize_columns.R). Deliberately NOT in Dataset A: shipping two status columns invites analysts to filter on the wrong one. Kept in the dictionary so the reverse gap check does not flag it. Use record_status.
record_status,corrected_ema_data,,record_status,,none,category,implemented,Analysis-facing status: clean / error / unusual / reasonable_unusual / equal_time / not_reported. DERIVED from data_category in finalize_columns() -- see .RECORD_STATUS_MAP. Six levels not five: reasonable_unusual records were reviewed and accepted by a human and that judgement is not the same claim as 'unusual'. EXCLUDE record_status=='error' before computing any summary statistic.
flag_severity,corrected_ema_data,,flag_severity,,none,category,implemented,Clean / Minor issues (1 flag) / Major issues (2+ flags)
needs_review_flag,review_output,,needs_review,,none,flag,implemented,Still awaiting human review after acceptances are applied
caffeinetoday_PM_NumCaffeinatedDrinksSnacks_1,corrected_ema_data,,caffeine_num,,none,count,implemented,Caffeinated drinks or snacks
alcoholtoday_PM_NumAlcoholicDrinks_1,corrected_ema_data,,alcohol_num,,none,count,implemented,Alcoholic drinks
nicotine_amount_pm_doses,corrected_ema_data,,nicotine_doses,,none,count,implemented,Nicotine doses
cannabis_amount_pm_doses,corrected_ema_data,,cannabis_doses,,none,count,implemented,Cannabis doses
StartDate,corrected_ema_data,,StartDate,,none,character,implemented,Survey date as recorded. Character type -- parse before plotting on a calendar axis.
time_bed_am_hhmm_ampm,corrected_ema_data,,,bedtime_precorrection,none,timestamp,implemented,Parsed bedtime before any correction (Step 2)
time_sleep_am_hhmm_ampm,corrected_ema_data,,,sleeponset_precorrection,none,timestamp,implemented,Parsed sleep onset before any correction (Step 2)
time_awake_am_hhmm_ampm,corrected_ema_data,,,awakening_precorrection,none,timestamp,implemented,Parsed awakening before any correction (Step 2)
time_getup_am_hhmm_ampm,corrected_ema_data,,,getup_precorrection,none,timestamp,implemented,Parsed get-up before any correction (Step 2)
pos_affect,,,pos_affect,,none,affect_score,reserved,Affect layer (positive affect EMA score). NOT cleaned by this pipeline: reserved as a declaration that the sleep cleaner must never drop/alter this column if present. Passed through untouched when present; column absent when survey data unavailable.
neg_affect,,,neg_affect,,none,affect_score,reserved,Affect layer (negative affect EMA score). NOT cleaned by this pipeline: pass-through only  never flagged/imputed/corrected. Reserved declaration.
stress_today_pm,,,stress_today_pm,,none,affect_score,reserved,Affect layer (evening stress rating per EMA protocol). NOT cleaned by this pipeline: pass-through only. Reserved declaration.
copestress_today_pm,,,copestress_today_pm,,none,affect_score,reserved,Affect layer (evening coping stress rating). NOT cleaned by this pipeline: pass-through only. Reserved declaration.
audit_disposition,corrected_ema_data,,,audit_disposition,none,category,implemented,Silent-error audit outcome (188-row review): per-row roll-up of private ledger. Levels none/keep/keep_flagged/corrected_manual/set_na/mixed. B only; field-level detail in private audit_dispositions.csv.
